feature	coefficient
Serpin_score_core	-0.0919963693276418
Proteo_DeltaFM	0.3616555375977723
THBS1_log	-0.8098641860391097
footprint_index	-0.7343281613613736
THBS1_cleave_idx	0.5979517561362752
dataset_indicator	-0.6848941979963583
intercept	-3.509947847936092
