dataset	neg_control	rho	p_value	n
PXD046330	ECM_nc_score	0.8946259220231824	5.466016030893004e-07	18
PXD046330	control_footprint_index	0.559988735439714	0.015655284364162726	18
PXD005719	ECM_nc_score	0.14285714285714288	0.7871720116618075	6
PXD005719	control_footprint_index	0.7142857142857143	0.1107871720116617	6
PXD051579	ECM_nc_score	-0.4285714285714286	0.3965014577259474	6
PXD051579	control_footprint_index	-0.7714285714285715	0.07239650145772594	6
