endpoint	term	estimate	se	z	p_value	n
footprint_index	Serpin_score_core	0.0026686453714555103	0.0002904068660779047	9.189332909021573	3.952850620468264e-20	6
footprint_index	log_total_PSMs	-6.138735645871563e-06	3.325008356906754e-05	-0.18462316442363505	0.8535246156940678	6
THBS1_cleave_idx	Serpin_score_core	-0.011357403714531655	0.013728605987752818	-0.8272801859608693	0.40807827160273913	6
THBS1_cleave_idx	log_total_PSMs	-0.0027232021636460152	0.0015718543522904422	-1.7324774141305623	0.08318859505246325	6
THBS1_log_count	Serpin_score_core	0.01253965393242503	0.01213110592422464	1.0336777216151878	0.30128685145939205	6
THBS1_log_count	log_total_PSMs	0.0026587983344286987	0.0013889488606563245	1.9142521440078997	0.05558794598418075	6
