recall	precision
1.0	0.2361111111111111
1.0	0.23943661971830985
1.0	0.24285714285714285
0.9411764705882353	0.2318840579710145
0.9411764705882353	0.23529411764705882
0.9411764705882353	0.23880597014925373
0.8823529411764706	0.22727272727272727
0.8823529411764706	0.23076923076923078
0.8823529411764706	0.234375
0.8823529411764706	0.23809523809523808
0.8823529411764706	0.24193548387096775
0.8823529411764706	0.2459016393442623
0.8823529411764706	0.25
0.8823529411764706	0.2542372881355932
0.8823529411764706	0.25862068965517243
0.8823529411764706	0.2631578947368421
0.8823529411764706	0.26785714285714285
0.8823529411764706	0.2727272727272727
0.8823529411764706	0.2777777777777778
0.8235294117647058	0.2641509433962264
0.8235294117647058	0.2692307692307692
0.8235294117647058	0.27450980392156865
0.8235294117647058	0.28
0.8235294117647058	0.2857142857142857
0.8235294117647058	0.2916666666666667
0.7647058823529411	0.2765957446808511
0.7647058823529411	0.2826086956521739
0.7647058823529411	0.28888888888888886
0.7647058823529411	0.29545454545454547
0.7647058823529411	0.3023255813953488
0.7647058823529411	0.30952380952380953
0.7647058823529411	0.3170731707317073
0.7647058823529411	0.325
0.7647058823529411	0.3333333333333333
0.7647058823529411	0.34210526315789475
0.7647058823529411	0.35135135135135137
0.7647058823529411	0.3611111111111111
0.7058823529411765	0.34285714285714286
0.7058823529411765	0.35294117647058826
0.7058823529411765	0.36363636363636365
0.6470588235294118	0.34375
0.5882352941176471	0.3225806451612903
0.5882352941176471	0.3333333333333333
0.5882352941176471	0.3448275862068966
0.5882352941176471	0.35714285714285715
0.5882352941176471	0.37037037037037035
0.5882352941176471	0.38461538461538464
0.5882352941176471	0.4
0.5294117647058824	0.375
0.5294117647058824	0.391304347826087
0.5294117647058824	0.4090909090909091
0.47058823529411764	0.38095238095238093
0.47058823529411764	0.4
0.4117647058823529	0.3684210526315789
0.4117647058823529	0.3888888888888889
0.35294117647058826	0.35294117647058826
0.35294117647058826	0.375
0.35294117647058826	0.4
0.35294117647058826	0.42857142857142855
0.35294117647058826	0.46153846153846156
0.29411764705882354	0.4166666666666667
0.23529411764705882	0.36363636363636365
0.23529411764705882	0.4
0.17647058823529413	0.3333333333333333
0.17647058823529413	0.375
0.17647058823529413	0.42857142857142855
0.11764705882352941	0.3333333333333333
0.058823529411764705	0.2
0.058823529411764705	0.25
0.058823529411764705	0.3333333333333333
0.058823529411764705	0.5
0.058823529411764705	1.0
0.0	1.0
