threshold	net_benefit_model	net_benefit_all	net_benefit_none
0.01	0.01611644904327831	0.01453559990145356	0.0
0.02	0.01053592168574747	0.0044798407167745136	0.0
0.03	0.002116335596345652	-0.005783253708825747	0.0
0.04	-0.005420054200542006	-0.01626016260162602	0.0
0.05	-0.0028883183568677796	-0.02695763799743261	0.0
0.060000000000000005	-0.0010378827192527246	-0.03788271925272445	0.0
0.06999999999999999	-0.00015298540082175015	-0.04904274849200104	0.0
0.08	-0.00017674089784376105	-0.06044538706256627	0.0
0.09	-0.00020101849370142053	-0.07209863307424283	0.0
0.09999999999999999	-0.00022583559168925024	-0.08401084010840107	0.0
0.11	0.0	-0.09619073718827076	0.0
0.12	0.0	-0.10864745011086474	0.0
0.13	0.0	-0.1213905242500701	0.0
0.14	0.0	-0.1344299489506523	0.0
0.15000000000000002	0.0	-0.14777618364418943	0.0
0.16	0.0	-0.16144018583042974	0.0
0.17	0.0	-0.1754334410813988	0.0
0.18000000000000002	0.0	-0.18976799524092805	0.0
0.19	0.0	-0.20445648900933452	0.0
0.2	0.0	-0.21951219512195122	0.0
0.21000000000000002	0.0	-0.23494905835134303	0.0
0.22	0.0	-0.2507817385866166	0.0
0.23	0.0	-0.2670256572695597	0.0
0.24000000000000002	0.0	-0.28369704749679076	0.0
0.25	0.0	-0.30081300813008127	0.0
0.26	0.0	-0.3183915622940013	0.0
0.27	0.0	-0.3364517206815904	0.0
0.28	0.0	-0.3550135501355014	0.0
0.29000000000000004	0.0	-0.3740982480247338	0.0
0.3	0.0	-0.39372822299651566	0.0
0.31	0.0	-0.4139271827500884	0.0
0.32	0.0	-0.43472022955523676	0.0
0.33	0.0	-0.4561339643247179	0.0
0.34	0.0	-0.47819660014781973	0.0
0.35000000000000003	0.0	-0.50093808630394	0.0
0.36000000000000004	0.0	-0.524390243902439	0.0
0.37	0.0	-0.548586914440573	0.0
0.38	0.0	-0.5735641227380015	0.0
0.39	0.0	-0.599360255897641	0.0
0.4	0.0	-0.6260162601626017	0.0
0.41000000000000003	0.0	-0.6535758577924762	0.0
0.42000000000000004	0.0	-0.6820857863751052	0.0
0.43	0.0	-0.7115960633290542	0.0
0.44	0.0	-0.7421602787456445	0.0
0.45	0.0	-0.7738359201773835	0.0
0.46	0.0	-0.8066847335140018	0.0
0.47000000000000003	0.0	-0.8407731247123792	0.0
0.48000000000000004	0.0	-0.876172607879925	0.0
0.49	0.0	-0.9129603060736489	0.0
0.5	0.0	-0.9512195121951219	0.0
0.51	0.0	-0.9910403185664509	0.0
0.52	0.0	-1.0325203252032522	0.0
0.53	0.0	-1.075765438505449	0.0
0.54	0.0	-1.1208907741251326	0.0
0.55	0.0	-1.1680216802168024	0.0
0.56	0.0	-1.2172949002217297	0.0
0.5700000000000001	0.0	-1.2688598979013048	0.0
0.5800000000000001	0.0	-1.32288037166086	0.0
0.59	0.0	-1.3795359904818558	0.0
0.6	0.0	-1.4390243902439022	0.0
0.61	0.0	-1.5015634771732331	0.0
0.62	0.0	-1.5673940949935814	0.0
0.63	0.0	-1.6367831245880025	0.0
0.64	0.0	-1.7100271002710028	0.0
0.65	0.0	-1.7874564459930316	0.0
0.66	0.0	-1.8694404591104736	0.0
0.67	0.0	-1.9563932002956397	0.0
0.68	0.0	-2.0487804878048785	0.0
0.6900000000000001	0.0	-2.147128245476004	0.0
0.7000000000000001	0.0	-2.2520325203252036	0.0
0.7100000000000001	0.0	-2.364171572750211	0.0
0.72	0.0	-2.484320557491289	0.0
0.73	0.0	-2.613369467028003	0.0
0.74	0.0	-2.7523452157598496	0.0
0.75	0.0	-2.902439024390244	0.0
0.76	0.0	-3.0650406504065044	0.0
0.77	0.0	-3.241781548250265	0.0
0.78	0.0	-3.4345898004434594	0.0
0.79	0.0	-3.64576074332172	0.0
0.8	0.0	-3.8780487804878057	0.0
0.81	0.0	-4.134788189987164	0.0
0.8200000000000001	0.0	-4.4200542005420065	0.0
0.8300000000000001	0.0	-4.738880918220949	0.0
0.8400000000000001	0.0	-5.09756097560976	0.0
0.85	0.0	-5.5040650406504055	0.0
0.86	0.0	-5.968641114982578	0.0
0.87	0.0	-6.504690431519699	0.0
0.88	0.0	-7.130081300813009	0.0
0.89	0.0	-7.869179600886919	0.0
0.9	0.0	-8.756097560975611	0.0
0.91	0.0	-9.840108401084015	0.0
0.92	0.0	-11.19512195121952	0.0
0.93	0.0	-12.937282229965167	0.0
0.9400000000000001	0.0	-15.260162601626032	0.0
0.9500000000000001	0.0	-18.512195121951248	0.0
0.9600000000000001	0.0	-23.39024390243907	0.0
0.97	0.0	-31.520325203252007	0.0
0.98	0.0	-47.78048780487801	0.0
0.99	0.0	-96.560975609756	0.0
