threshold	fpr	tpr
inf	0.0	0.0
0.5666925760704908	0.0018656716417910447	0.0
0.5611059762633287	0.0018656716417910447	0.034482758620689655
0.3100199492166279	0.009328358208955223	0.034482758620689655
0.3019855019134384	0.009328358208955223	0.10344827586206896
0.29691369342811413	0.013059701492537313	0.10344827586206896
0.296709659600798	0.013059701492537313	0.13793103448275862
0.2760231537482207	0.020522388059701493	0.13793103448275862
0.2752621585122461	0.020522388059701493	0.1724137931034483
0.26135864966914163	0.026119402985074626	0.1724137931034483
0.2580729548396414	0.026119402985074626	0.20689655172413793
0.24894174417434367	0.033582089552238806	0.20689655172413793
0.24611328484727918	0.033582089552238806	0.2413793103448276
0.23484021423225127	0.041044776119402986	0.2413793103448276
0.23452599741062177	0.041044776119402986	0.27586206896551724
0.22728826951071823	0.05223880597014925	0.27586206896551724
0.22643804504117654	0.05223880597014925	0.3103448275862069
0.22469213624639015	0.054104477611940295	0.3103448275862069
0.22393016017547415	0.054104477611940295	0.3448275862068966
0.21221436815197436	0.06343283582089553	0.3448275862068966
0.1981053272595166	0.06343283582089553	0.4482758620689655
0.18715527000821802	0.0708955223880597	0.4482758620689655
0.18699125072853987	0.0708955223880597	0.4827586206896552
0.18686844208085396	0.07276119402985075	0.4827586206896552
0.18633604284017788	0.07276119402985075	0.5172413793103449
0.1742001049076229	0.08582089552238806	0.5172413793103449
0.16793120937271727	0.08582089552238806	0.5862068965517241
0.04338131862426762	0.1921641791044776	0.5862068965517241
0.04330151397188942	0.1921641791044776	0.6206896551724138
0.04039265337950677	0.21455223880597016	0.6206896551724138
0.040268187638565364	0.21455223880597016	0.6551724137931034
0.03138361455372864	0.35074626865671643	0.6551724137931034
0.03135986595113565	0.35074626865671643	0.6896551724137931
0.029701427792749792	0.40298507462686567	0.6896551724137931
0.029482415135647023	0.40298507462686567	0.7241379310344828
0.027917010416829684	0.45149253731343286	0.7241379310344828
0.027899885991653325	0.45149253731343286	0.7586206896551724
0.021889124234229673	0.5951492537313433	0.7586206896551724
0.021749213438391115	0.5951492537313433	0.7931034482758621
0.021653270872842214	0.5988805970149254	0.7931034482758621
0.021479056805470326	0.5988805970149254	0.8275862068965517
0.02050531194882021	0.6175373134328358	0.8275862068965517
0.020294940880948274	0.6175373134328358	0.8620689655172413
0.016417012481620617	0.7164179104477612	0.8620689655172413
0.016384498631320504	0.7164179104477612	0.896551724137931
0.015154227992165575	0.7425373134328358	0.896551724137931
0.015141680944192987	0.7425373134328358	0.9310344827586207
0.013923155248768544	0.7686567164179104	0.9310344827586207
0.013762436402158183	0.7686567164179104	0.9655172413793104
0.011056856077576747	0.8302238805970149	0.9655172413793104
0.010962591739391793	0.8302238805970149	1.0
0.0029588569090349117	1.0	1.0
