feature	coef	robust_se	z	p_value	ci_lower	ci_upper
const	-3.026649174651946	0.5344292994886994	-5.663329419901959	1.4846375153680329e-08	-4.074130601649797	-1.9791677476540952
Serpin_score_core	0.02816141858729255	0.08711458021152098	0.32326871711847127	0.7464917432940932	-0.14258315862728857	0.19890599580187365
THBS1_log	-0.22125863468389068	0.10035257004209654	-2.2048128372903224	0.027467230851722618	-0.41794967196639987	-0.02456759740138148
footprint_index	-0.07590000889836662	0.03249500668018046	-2.3357437542753297	0.01950460062175076	-0.13959022199152032	-0.01220979580521292
THBS1_cleave_idx	0.19728140881602482	0.09909378698136452	1.990855479699503	0.046496777916105694	0.003057586332550377	0.39150523129949927
Proteo_DeltaFM	-0.24750878983599187	0.18785357663667546	-1.3175622964831517	0.1876502140605163	-0.6157018000438758	0.120684220371892
