dataset	method	rho	p_value	fdr
GSE125989	singscore	0.6370967741935484	1.2538028207366458e-4	1.6717370943155276e-4
GSE43837	singscore	0.35638472480577743	0.02868059966630852	0.02868059966630852
GSE14017	singscore	0.711822660098522	2.5049879967478032e-5	5.0099759934956064e-5
GSE14018	singscore	0.7171171171171171	2.1851062656578403e-6	8.740425062631361e-6
