threshold	fpr	tpr
inf	0.0	0.0
0.9042699381145308	0.0	0.058823529411764705
0.6611567376004884	0.03571428571428571	0.058823529411764705
0.38510544401481916	0.03571428571428571	0.11764705882352941
0.3240824845881256	0.125	0.11764705882352941
0.32081565693256153	0.125	0.17647058823529413
0.31023734226316785	0.16071428571428573	0.17647058823529413
0.2980268165800079	0.16071428571428573	0.35294117647058826
0.29485618156937937	0.17857142857142858	0.35294117647058826
0.292480824643354	0.17857142857142858	0.4117647058823529
0.2808184191697309	0.26785714285714285	0.4117647058823529
0.2755300254997721	0.26785714285714285	0.47058823529411764
0.2722211370429468	0.2857142857142857	0.47058823529411764
0.2674870789647066	0.2857142857142857	0.5294117647058824
0.24065367393892267	0.3392857142857143	0.5294117647058824
0.23084838013661058	0.3392857142857143	0.7058823529411765
0.22924011994042712	0.35714285714285715	0.7058823529411765
0.22762447285856244	0.35714285714285715	0.7647058823529411
0.2016460161473008	0.5535714285714286	0.7647058823529411
0.19653704719828807	0.5535714285714286	0.8235294117647058
0.17356080469877946	0.6607142857142857	0.8235294117647058
0.17321829117058526	0.6607142857142857	0.8823529411764706
0.12571902880648256	0.8214285714285714	0.8823529411764706
0.12386327505377363	0.8214285714285714	1.0
0.07698554790790102	1.0	1.0
