feature	coef	robust_se	z	p_value	ci_lower	ci_upper
const	-1.2913425840867965	0.3021408100650082	-4.273976043848406	1.9201767580280252e-05	-1.8835385718142126	-0.6991465963593804
Serpin_score_core	-2.3302179845858115e-06	184722693765202.16	-1.2614681699844155e-20	1.0	-362056479779796.25	362056479779796.25
Proteo_DeltaFM	0.5706645199394078	0.2760396727775445	2.067327910503996	0.038703266012745034	0.029626761295420634	1.111702278583395
