threshold	net_benefit_model	net_benefit_all	net_benefit_none
0.01	0.2251279922512799	0.2251279922512799	0.0
0.02	0.2172211350293542	0.2172211350293542	0.0
0.03	0.20915124982347125	0.20915124982347125	0.0
0.04	0.2009132420091324	0.2009132420091324	0.0
0.05	0.1925018024513338	0.1925018024513338	0.0
0.060000000000000005	0.18391139609443308	0.18391139609443308	0.0
0.06999999999999999	0.17513624981587864	0.17513624981587864	0.0
0.08	0.16736152471709348	0.16617033948779036	0.0
0.09	0.15836218575944602	0.15700737618545837	0.0
0.09999999999999999	0.15220700152207	0.1476407914764079	0.0
0.11	0.1465291673079883	0.13806372171771586	0.0
0.12	0.14508094645080946	0.12826899128268993	0.0
0.13	0.11541489529207997	0.1182490946307668	0.0
0.14	0.11181905065307421	0.10799617712647339	0.0
0.15000000000000002	0.11120064464141817	0.09750201450443188	0.0
0.16	0.10371819960861055	0.0867579908675799	0.0
0.17	0.09886119821752763	0.07575507509490012	0.0
0.18000000000000002	0.08653524891413296	0.06448379552288672	0.0
0.19	0.08895653644512092	0.05293421275156435	0.0
0.2	0.07191780821917808	0.0410958904109589	0.0
0.21000000000000002	0.07976417548118604	0.028957863707300135	0.0
0.22	0.08921671935370565	0.016508605549701433	0.0
0.23	0.08663938800925101	0.0037359900373599153	0.0
0.24000000000000002	0.04109589041095889	-0.00937274693583276	0.0
0.25	0.0410958904109589	-0.0228310502283105	0.0
0.26	0.041466123657904475	-0.03665309144761203	0.0
0.27	0.028523175079752286	-0.05085381872771627	0.0
0.28	0.015981735159817337	-0.06544901065449016	0.0
0.29000000000000004	0.028747829442407863	-0.08045533474821537	0.0
0.3	0.015655577299412908	-0.0958904109589041	0.0
0.31	-0.014294222751637886	-0.11177288068294622	0.0
0.32	-0.004029008863819503	-0.12812248186946013	0.0
0.33	-0.013085258638315278	-0.14496013085258647	0.0
0.34	-0.00788709007887091	-0.16230801162308017	0.0
0.35000000000000003	0.01264488935721812	-0.18018967334035835	0.0
0.36000000000000004	0.01198630136986301	-0.19863013698630144	0.0
0.37	0.011306805827353772	-0.2176560121765601	0.0
0.38	0.010605391073795847	-0.23729562527618203	0.0
0.39	-0.00381765102178307	-0.25757916011677523	0.0
0.4	-0.004566210045662104	-0.2785388127853882	0.0
0.41000000000000003	-0.005340143951706525	-0.30020896215463205	0.0
0.42000000000000004	-0.006140765233821448	-0.3226263580538498	0.0
0.43	-0.006969478490747413	-0.34583032924777685	0.0
0.44	-0.007827788649706457	-0.3698630136986301	0.0
0.45	-0.008717310087173098	-0.3947696139476961	0.0
0.46	-0.009639776763064434	-0.42059868087265345	0.0
0.47000000000000003	-0.01059705350219695	-0.4474024295683639	0.0
0.48000000000000004	-0.011591148577449948	-0.47523709167544786	0.0
0.49	-0.012624227773301099	-0.5041633091592801	0.0
0.5	-0.0136986301369863	-0.5342465753424657	0.0
0.51	-0.014816885658372938	-0.5655577299412915	0.0
0.52	-0.015981735159817354	-0.5981735159817352	0.0
0.53	-0.01719615272515302	-0.6321772078111338	0.0
0.54	-0.01846337105419893	-0.6676593210244193	0.0
0.55	-0.019786910197869108	-0.7047184170471843	0.0
0.56	-0.021170610211706103	-0.7434620174346203	0.0
0.5700000000000001	-0.022618668365721573	-0.7840076457470533	0.0
0.5800000000000001	-0.024135681669928258	-0.8264840182648403	0.0
0.59	-0.025726695623120605	-0.8710324089542263	0.0
0.6	-0.027397260273972594	-0.9178082191780819	0.0
0.61	-0.029153494906919562	-0.9669827889005971	0.0
0.62	-0.031002162941600575	-1.0187454938716654	0.0
0.63	-0.03295075897815623	-1.0733061828952237	0.0
0.64	-0.0350076103500761	-1.13089802130898	0.0
0.65	-0.03718199608610568	-1.1917808219178083	0.0
0.66	-0.03948428686543111	-1.2562449637389204	0.0
0.67	-0.014113740141137407	-1.3246160232461603	0.0
0.68	-0.015410958904109595	-1.397260273972603	0.0
0.6900000000000001	-0.016791869200176765	-1.4745912505523646	0.0
0.7000000000000001	-0.018264840182648408	-1.5570776255707766	0.0
0.7100000000000001	0.0136986301369863	-1.6452527161077002	0.0
0.72	0.0136986301369863	-1.73972602739726	0.0
0.73	0.0136986301369863	-1.8411973617453063	0.0
0.74	0.0136986301369863	-1.9504741833508952	0.0
0.75	0.0136986301369863	-2.0684931506849313	0.0
0.76	0.0136986301369863	-2.1963470319634704	0.0
0.77	0.0136986301369863	-2.3353186420488385	0.0
0.78	0.0136986301369863	-2.4869240348692405	0.0
0.79	0.0136986301369863	-2.6529680365296806	0.0
0.8	0.0136986301369863	-2.835616438356165	0.0
0.81	0.0136986301369863	-3.0374909877433316	0.0
0.8200000000000001	0.0136986301369863	-3.2617960426179615	0.0
0.8300000000000001	0.0136986301369863	-3.512489927477842	0.0
0.8400000000000001	0.0136986301369863	-3.794520547945208	0.0
0.85	0.0136986301369863	-4.114155251141552	0.0
0.86	0.0136986301369863	-4.47945205479452	0.0
0.87	0.0136986301369863	-4.900948366701791	0.0
0.88	0.0136986301369863	-5.392694063926942	0.0
0.89	0.0136986301369863	-5.973848069738481	0.0
0.9	0.0136986301369863	-6.67123287671233	0.0
0.91	0.0	-7.523592085235923	0.0
0.92	0.0	-8.589041095890416	0.0
0.93	0.0	-9.958904109589048	0.0
0.9400000000000001	0.0	-11.785388127853892	0.0
0.9500000000000001	0.0	-14.342465753424678	0.0
0.9600000000000001	0.0	-18.178082191780856	0.0
0.97	0.0	-24.57077625570774	0.0
0.98	0.0	-37.356164383561605	0.0
0.99	0.0	-75.71232876712322	0.0
