threshold	net_benefit_model	net_benefit_treat_all	net_benefit_treat_none	variant
0.05	0.013824884792626727	-0.021101139946640802	0.0	baseline
0.1	0.013696876600102409	-0.07782898105478751	0.0	baseline
0.15000000000000002	0.014434806180536733	-0.1412306858227162	0.0	baseline
0.2	0.012096774193548387	-0.21255760368663593	0.0	baseline
0.25	0.01228878648233487	-0.293394777265745	0.0	baseline
0.3	0.012014483212639893	-0.38578011849901256	0.0	baseline
0.35000000000000003	0.011875221552640907	-0.4923785891527828	0.0	baseline
0.4	0.010752688172043012	-0.6167434715821812	0.0	baseline
0.45	0.0077503142019271064	-0.7637201508169249	0.0	baseline
0.5	0.0069124423963133645	-0.9400921658986174	0.0	baseline
0.55	0.008704557091653865	-1.1556579621095753	0.0	baseline
0.6000000000000001	0.008640552995391704	-1.4251152073732725	0.0	baseline
0.6500000000000001	0.007077024358130348	-1.7715602369980261	0.0	baseline
0.7000000000000001	0.0069124423963133645	-2.233486943164363	0.0	baseline
0.7500000000000001	0.00576036866359447	-2.8801843317972367	0.0	baseline
0.8	0.00576036866359447	-3.8502304147465445	0.0	baseline
0.8500000000000001	0.0034562211981566822	-5.466973886328729	0.0	baseline
0.9000000000000001	0.001152073732718894	-8.700460829493101	0.0	baseline
