feature	coef	se	z	p_value	ci_lower	ci_upper
Intercept	-3.522506812838212	0.3210933798340264	-10.970350166232018	5.306648128189597e-28	-4.151849837312904	-2.8931637883635206
Serpin_score_core	-0.11753177635692898	0.29440765335975444	-0.39921440565714444	0.6897352295194887	-0.6945707769420477	0.45950722422818974
Proteo_DeltaFM	0.38291707034708533	0.22407161197132408	1.7089048763396666	0.08746857110994799	-0.05626328911670986	0.8220974298108805
THBS1_log	-1.4653550502708852	0.8739346453196515	-1.6767329892670808	0.09359470661592897	-3.178266955097402	0.2475568545556317
footprint_index	-0.8521538266278764	0.39040929947613984	-2.1827190791083	0.029056504015673577	-1.6173560536011105	-0.08695159965464239
THBS1_cleave_idx	1.2370771597137344	0.8333529294169769	1.4844576841881476	0.13768754128164773	-0.3962945819435404	2.8704489013710095
dataset_indicator	-0.6449061311212211	0.22032319705030629	-2.9270913810041073	0.0034214833444733807	-1.0767395973398215	-0.21307266490262078
