feature	spearman_rho	spearman_p	n
Serpin_score_core	0.012895267918972908	0.7754026783670467	492
THBS1_log	-0.030546350946784234	0.4990500661323196	492
footprint_index	-0.07468162197505208	0.09800237626206985	492
THBS1_cleave_idx	0.0003253494385530208	0.9942566822350563	492
Proteo_DeltaFM	-0.05306689619843577	0.2400288697035892	492
