threshold	fpr	tpr
inf	0.0	0.0
0.10940001909479333	0.0020833333333333333	0.0
0.0369708014306297	0.175	0.0
0.03668606755529229	0.175	0.08333333333333333
0.033005368051099486	0.21458333333333332	0.08333333333333333
0.03275817304147115	0.21458333333333332	0.16666666666666666
0.03177943196378672	0.23958333333333334	0.16666666666666666
0.031614564295513035	0.23958333333333334	0.25
0.03131701907013237	0.24791666666666667	0.25
0.03119422716904899	0.24791666666666667	0.3333333333333333
0.03115747483519438	0.25	0.3333333333333333
0.031124619604001248	0.25	0.4166666666666667
0.0280374613025291	0.3020833333333333	0.4166666666666667
0.027916493013316248	0.30625	0.4166666666666667
0.027857666031885525	0.3104166666666667	0.4166666666666667
0.027782779860237285	0.3104166666666667	0.5
0.027079659900281012	0.32916666666666666	0.5
0.027079305465149823	0.32916666666666666	0.5833333333333334
0.021701493432969347	0.55	0.5833333333333334
0.021631297071855755	0.55	0.6666666666666666
0.021522998186358788	0.5583333333333333	0.6666666666666666
0.021461471567656418	0.5583333333333333	0.75
0.020778560840126078	0.5833333333333334	0.75
0.020756780855359473	0.5833333333333334	0.9166666666666666
0.015760572259942877	0.71875	0.9166666666666666
0.01568496600192752	0.71875	1.0
0.002002174897106633	1.0	1.0
